Fecha,Zona,CantidadTotal
06/12/2017,RURAL,3
06/12/2017,URBANA,64
07/12/2017,RURAL,4
07/12/2017,URBANA,58
08/12/2017,RURAL,4
08/12/2017,URBANA,71
09/12/2017,RURAL,4
09/12/2017,URBANA,59
10/12/2017,RURAL,9
10/12/2017,URBANA,51
11/12/2017,RURAL,6
11/12/2017,URBANA,63
12/12/2017,RURAL,8
12/12/2017,URBANA,62
13/12/2017,RURAL,2
13/12/2017,URBANA,59
14/12/2017,RURAL,9
14/12/2017,URBANA,66
15/12/2017,RURAL,8
15/12/2017,URBANA,51
16/12/2017,RURAL,4
16/12/2017,URBANA,37
17/12/2017,RURAL,6
17/12/2017,URBANA,56
18/12/2017,RURAL,7
18/12/2017,URBANA,43
19/12/2017,RURAL,2
19/12/2017,URBANA,28
20/12/2017,RURAL,6
20/12/2017,URBANA,23
21/12/2017,RURAL,4
21/12/2017,URBANA,36
22/12/2017,RURAL,7
22/12/2017,URBANA,33
23/12/2017,URBANA,16
24/12/2017,RURAL,6
24/12/2017,URBANA,33
25/12/2017,RURAL,9
25/12/2017,URBANA,26
26/12/2017,RURAL,6
26/12/2017,URBANA,28
27/12/2017,RURAL,4
27/12/2017,URBANA,22
28/12/2017,RURAL,2
28/12/2017,URBANA,34
29/12/2017,RURAL,4
29/12/2017,URBANA,31
30/12/2017,RURAL,1
30/12/2017,URBANA,20
31/12/2017,RURAL,7
31/12/2017,URBANA,33
01/01/2018,RURAL,31
01/01/2018,URBANA,144
02/01/2018,RURAL,8
02/01/2018,URBANA,49
03/01/2018,RURAL,7
03/01/2018,URBANA,58
04/01/2018,RURAL,6
04/01/2018,URBANA,47
05/01/2018,RURAL,7
05/01/2018,URBANA,53
06/01/2018,RURAL,9
06/01/2018,URBANA,59
07/01/2018,RURAL,8
07/01/2018,URBANA,48
08/01/2018,RURAL,10
08/01/2018,URBANA,38
09/01/2018,RURAL,6
09/01/2018,URBANA,57
10/01/2018,RURAL,4
10/01/2018,URBANA,69
11/01/2018,RURAL,10
11/01/2018,URBANA,63
12/01/2018,RURAL,14
12/01/2018,URBANA,47
13/01/2018,RURAL,14
13/01/2018,URBANA,57
14/01/2018,RURAL,8
14/01/2018,URBANA,51
15/01/2018,RURAL,12
15/01/2018,URBANA,83
16/01/2018,RURAL,6
16/01/2018,URBANA,62
17/01/2018,RURAL,8
17/01/2018,URBANA,79
18/01/2018,RURAL,10
18/01/2018,URBANA,57
19/01/2018,RURAL,8
19/01/2018,URBANA,58
20/01/2018,RURAL,14
20/01/2018,URBANA,60
21/01/2018,RURAL,11
21/01/2018,URBANA,37
22/01/2018,RURAL,7
22/01/2018,URBANA,69
23/01/2018,OTRAS,1
23/01/2018,RURAL,8
23/01/2018,URBANA,48
24/01/2018,RURAL,9
24/01/2018,URBANA,69
25/01/2018,RURAL,8
25/01/2018,URBANA,68
26/01/2018,RURAL,9
26/01/2018,URBANA,59
27/01/2018,RURAL,10
27/01/2018,URBANA,42
28/01/2018,RURAL,6
28/01/2018,URBANA,46
29/01/2018,RURAL,7
29/01/2018,URBANA,50
30/01/2018,RURAL,11
30/01/2018,URBANA,51
31/01/2018,RURAL,7
31/01/2018,URBANA,44
01/02/2018,RURAL,3
01/02/2018,URBANA,74
02/02/2018,RURAL,16
02/02/2018,URBANA,41
03/02/2018,RURAL,6
03/02/2018,URBANA,32
04/02/2018,RURAL,9
04/02/2018,URBANA,35
05/02/2018,RURAL,6
05/02/2018,URBANA,47
06/02/2018,RURAL,11
06/02/2018,URBANA,53
07/02/2018,RURAL,7
07/02/2018,URBANA,36
08/02/2018,RURAL,5
08/02/2018,URBANA,31
09/02/2018,RURAL,11
09/02/2018,URBANA,49
10/02/2018,RURAL,6
10/02/2018,URBANA,35
11/02/2018,RURAL,4
11/02/2018,URBANA,31
12/02/2018,RURAL,10
12/02/2018,URBANA,33
13/02/2018,RURAL,7
13/02/2018,URBANA,37
14/02/2018,RURAL,2
14/02/2018,URBANA,45
15/02/2018,RURAL,6
15/02/2018,URBANA,48
16/02/2018,RURAL,12
16/02/2018,URBANA,39
17/02/2018,RURAL,3
17/02/2018,URBANA,32
18/02/2018,RURAL,5
18/02/2018,URBANA,39
19/02/2018,RURAL,11
19/02/2018,URBANA,47
20/02/2018,RURAL,11
20/02/2018,URBANA,59
21/02/2018,RURAL,3
21/02/2018,URBANA,56
22/02/2018,RURAL,21
22/02/2018,URBANA,57
23/02/2018,RURAL,16
23/02/2018,URBANA,66
24/02/2018,RURAL,6
24/02/2018,URBANA,56
25/02/2018,RURAL,5
25/02/2018,URBANA,53
26/02/2018,RURAL,11
26/02/2018,URBANA,64
27/02/2018,RURAL,8
27/02/2018,URBANA,57
28/02/2018,RURAL,10
28/02/2018,URBANA,57
01/03/2018,RURAL,12
01/03/2018,URBANA,84
02/03/2018,RURAL,11
