name,Fecha,CantidadTotal
DelitosSexuales,19/03/2017,70
DelitosSexuales,20/03/2017,65
DelitosSexuales,21/03/2017,69
DelitosSexuales,22/03/2017,77
DelitosSexuales,23/03/2017,84
DelitosSexuales,24/03/2017,75
DelitosSexuales,25/03/2017,70
DelitosSexuales,26/03/2017,56
DelitosSexuales,27/03/2017,89
DelitosSexuales,28/03/2017,102
DelitosSexuales,29/03/2017,85
DelitosSexuales,30/03/2017,66
DelitosSexuales,31/03/2017,91
DelitosSexuales,01/04/2017,153
DelitosSexuales,02/04/2017,86
DelitosSexuales,03/04/2017,98
DelitosSexuales,04/04/2017,90
DelitosSexuales,05/04/2017,100
DelitosSexuales,06/04/2017,96
DelitosSexuales,07/04/2017,77
DelitosSexuales,08/04/2017,53
DelitosSexuales,09/04/2017,80
DelitosSexuales,10/04/2017,69
DelitosSexuales,11/04/2017,68
DelitosSexuales,12/04/2017,81
DelitosSexuales,13/04/2017,48
DelitosSexuales,14/04/2017,52
DelitosSexuales,15/04/2017,92
DelitosSexuales,16/04/2017,58
DelitosSexuales,17/04/2017,97
DelitosSexuales,18/04/2017,97
DelitosSexuales,19/04/2017,67
DelitosSexuales,20/04/2017,68
DelitosSexuales,21/04/2017,61
DelitosSexuales,22/04/2017,64
DelitosSexuales,23/04/2017,74
DelitosSexuales,24/04/2017,101
DelitosSexuales,25/04/2017,79
DelitosSexuales,26/04/2017,88
DelitosSexuales,27/04/2017,80
DelitosSexuales,28/04/2017,125
DelitosSexuales,29/04/2017,67
DelitosSexuales,30/04/2017,88
DelitosSexuales,01/05/2017,160
DelitosSexuales,02/05/2017,117
DelitosSexuales,03/05/2017,85
DelitosSexuales,04/05/2017,102
DelitosSexuales,05/05/2017,132
DelitosSexuales,06/05/2017,92
DelitosSexuales,07/05/2017,71
DelitosSexuales,08/05/2017,117
DelitosSexuales,09/05/2017,90
DelitosSexuales,10/05/2017,117
DelitosSexuales,11/05/2017,85
DelitosSexuales,12/05/2017,92
DelitosSexuales,13/05/2017,73
DelitosSexuales,14/05/2017,79
DelitosSexuales,15/05/2017,104
DelitosSexuales,16/05/2017,88
DelitosSexuales,17/05/2017,105
DelitosSexuales,18/05/2017,102
DelitosSexuales,19/05/2017,96
DelitosSexuales,20/05/2017,86
DelitosSexuales,21/05/2017,78
DelitosSexuales,22/05/2017,110
DelitosSexuales,23/05/2017,95
DelitosSexuales,24/05/2017,55
