Fecha,Sexo,CantidadTotal
20/10/2017,MASCULINO,54
21/10/2017,FEMENINO,31
21/10/2017,MASCULINO,48
22/10/2017,FEMENINO,46
22/10/2017,MASCULINO,63
23/10/2017,FEMENINO,39
23/10/2017,MASCULINO,46
24/10/2017,FEMENINO,35
24/10/2017,MASCULINO,44
25/10/2017,FEMENINO,43
25/10/2017,MASCULINO,47
26/10/2017,FEMENINO,52
26/10/2017,MASCULINO,48
27/10/2017,FEMENINO,31
27/10/2017,MASCULINO,41
28/10/2017,FEMENINO,25
28/10/2017,MASCULINO,26
29/10/2017,FEMENINO,26
29/10/2017,MASCULINO,22
30/10/2017,FEMENINO,45
30/10/2017,MASCULINO,32
31/10/2017,FEMENINO,20
31/10/2017,MASCULINO,27
01/11/2017,FEMENINO,48
01/11/2017,MASCULINO,61
02/11/2017,FEMENINO,37
02/11/2017,MASCULINO,38
03/11/2017,FEMENINO,38
03/11/2017,MASCULINO,44
04/11/2017,FEMENINO,36
04/11/2017,MASCULINO,56
05/11/2017,FEMENINO,50
05/11/2017,MASCULINO,40
06/11/2017,FEMENINO,35
06/11/2017,MASCULINO,43
07/11/2017,FEMENINO,38
07/11/2017,MASCULINO,77
08/11/2017,FEMENINO,51
08/11/2017,MASCULINO,55
09/11/2017,FEMENINO,48
09/11/2017,MASCULINO,60
10/11/2017,FEMENINO,52
10/11/2017,MASCULINO,54
11/11/2017,FEMENINO,28
11/11/2017,MASCULINO,44
12/11/2017,FEMENINO,30
12/11/2017,MASCULINO,34
13/11/2017,FEMENINO,30
13/11/2017,MASCULINO,29
14/11/2017,FEMENINO,42
14/11/2017,MASCULINO,52
15/11/2017,FEMENINO,49
15/11/2017,MASCULINO,62
16/11/2017,FEMENINO,30
16/11/2017,MASCULINO,65
17/11/2017,FEMENINO,46
17/11/2017,MASCULINO,40
18/11/2017,FEMENINO,39
18/11/2017,MASCULINO,49
19/11/2017,FEMENINO,48
19/11/2017,MASCULINO,50
20/11/2017,FEMENINO,58
20/11/2017,MASCULINO,53
21/11/2017,FEMENINO,38
21/11/2017,MASCULINO,50
22/11/2017,FEMENINO,44
22/11/2017,MASCULINO,47
23/11/2017,-,2
23/11/2017,FEMENINO,44
23/11/2017,MASCULINO,55
24/11/2017,FEMENINO,54
24/11/2017,MASCULINO,40
25/11/2017,FEMENINO,55
25/11/2017,MASCULINO,37
26/11/2017,FEMENINO,39
26/11/2017,MASCULINO,48
27/11/2017,FEMENINO,49
27/11/2017,MASCULINO,64
28/11/2017,FEMENINO,46
28/11/2017,MASCULINO,54
29/11/2017,FEMENINO,72
29/11/2017,MASCULINO,80
30/11/2017,FEMENINO,65
30/11/2017,MASCULINO,59
01/12/2017,FEMENINO,48
01/12/2017,MASCULINO,61
02/12/2017,FEMENINO,36
02/12/2017,MASCULINO,52
03/12/2017,-,1
03/12/2017,FEMENINO,51
03/12/2017,MASCULINO,54
04/12/2017,FEMENINO,45
04/12/2017,MASCULINO,56
05/12/2017,FEMENINO,52
05/12/2017,MASCULINO,48
06/12/2017,FEMENINO,34
06/12/2017,MASCULINO,45
07/12/2017,FEMENINO,28
07/12/2017,MASCULINO,44
08/12/2017,FEMENINO,38
08/12/2017,MASCULINO,56
09/12/2017,FEMENINO,37
09/12/2017,MASCULINO,34
10/12/2017,FEMENINO,51
10/12/2017,MASCULINO,52
11/12/2017,FEMENINO,38
11/12/2017,MASCULINO,52
12/12/2017,-,1
12/12/2017,FEMENINO,45
12/12/2017,MASCULINO,46
13/12/2017,FEMENINO,27
13/12/2017,MASCULINO,38
14/12/2017,FEMENINO,26
14/12/2017,MASCULINO,42
15/12/2017,FEMENINO,31
15/12/2017,MASCULINO,26
16/12/2017,FEMENINO,24
16/12/2017,MASCULINO,36
17/12/2017,FEMENINO,38
17/12/2017,MASCULINO,32
18/12/2017,FEMENINO,26
18/12/2017,MASCULINO,28
19/12/2017,-,1
19/12/2017,FEMENINO,16
19/12/2017,MASCULINO,16
20/12/2017,FEMENINO,26
20/12/2017,MASCULINO,38
21/12/2017,FEMENINO,13
21/12/2017,MASCULINO,20
22/12/2017,FEMENINO,18
22/12/2017,MASCULINO,19
23/12/2017,FEMENINO,23
23/12/2017,MASCULINO,23
24/12/2017,FEMENINO,28
24/12/2017,MASCULINO,21
25/12/2017,FEMENINO,29
25/12/2017,MASCULINO,27
26/12/2017,FEMENINO,23
26/12/2017,MASCULINO,25
27/12/2017,FEMENINO,18
27/12/2017,MASCULINO,21
28/12/2017,FEMENINO,21
28/12/2017,MASCULINO,21
29/12/2017,FEMENINO,12
29/12/2017,MASCULINO,25
30/12/2017,FEMENINO,12
30/12/2017,MASCULINO,15
31/12/2017,FEMENINO,15
31/12/2017,MASCULINO,16
01/01/2018,FEMENINO,92
01/01/2018,MASCULINO,88
02/01/2018,FEMENINO,45
02/01/2018,MASCULINO,48
03/01/2018,FEMENINO,55
03/01/2018,MASCULINO,55
04/01/2018,FEMENINO,53
04/01/2018,MASCULINO,66
05/01/2018,-,1
05/01/2018,FEMENINO,45
05/01/2018,MASCULINO,57
06/01/2018,FEMENINO,41
06/01/2018,MASCULINO,36
07/01/2018,FEMENINO,49
07/01/2018,MASCULINO,48
08/01/2018,-,1
08/01/2018,FEMENINO,45
08/01/2018,MASCULINO,42
09/01/2018,FEMENINO,57
09/01/2018,MASCULINO,48
10/01/2018,FEMENINO,56
10/01/2018,MASCULINO,64
11/01/2018,FEMENINO,70
11/01/2018,MASCULINO,70
12/01/2018,-,1
12/01/2018,FEMENINO,41
12/01/2018,MASCULINO,57
13/01/2018,FEMENINO,51
13/01/2018,MASCULINO,56
14/01/2018,FEMENINO,60
14/01/2018,MASCULINO,54
15/01/2018,FEMENINO,72
15/01/2018,MASCULINO,96
16/01/2018,FEMENINO,69
16/01/2018,MASCULINO,73
17/01/2018,FEMENINO,40
17/01/2018,MASCULINO,52
18/01/2018,FEMENINO,76
18/01/2018,MASCULINO,73
19/01/2018,FEMENINO,54
19/01/2018,MASCULINO,48
20/01/2018,FEMENINO,49
20/01/2018,MASCULINO,59
21/01/2018,FEMENINO,47
21/01/2018,MASCULINO,62
22/01/2018,FEMENINO,66
22/01/2018,MASCULINO,87
23/01/2018,FEMENINO,56
23/01/2018,MASCULINO,69
24/01/2018,FEMENINO,51
24/01/2018,MASCULINO,56
25/01/2018,FEMENINO,51
25/01/2018,MASCULINO,63
26/01/2018,FEMENINO,57
26/01/2018,MASCULINO,59
27/01/2018,FEMENINO,56
27/01/2018,MASCULINO,63
28/01/2018,FEMENINO,57
28/01/2018,MASCULINO,63
29/01/2018,FEMENINO,56
29/01/2018,MASCULINO,65
30/01/2018,-,1
30/01/2018,FEMENINO,52
30/01/2018,MASCULINO,64
31/01/2018,-,1
31/01/2018,FEMENINO,55
31/01/2018,MASCULINO,55
01/02/2018,-,1
01/02/2018,FEMENINO,45
01/02/2018,MASCULINO,56
02/02/2018,FEMENINO,48
02/02/2018,MASCULINO,64
03/02/2018,-,1
03/02/2018,FEMENINO,37
03/02/2018,MASCULINO,29
04/02/2018,FEMENINO,40
04/02/2018,MASCULINO,47
05/02/2018,FEMENINO,48
05/02/2018,MASCULINO,61
06/02/2018,FEMENINO,54
06/02/2018,MASCULINO,42
07/02/2018,FEMENINO,34
07/02/2018,MASCULINO,64
08/02/2018,FEMENINO,51
08/02/2018,MASCULINO,49
09/02/2018,-,1
09/02/2018,FEMENINO,36
09/02/2018,MASCULINO,51
10/02/2018,FEMENINO,45
10/02/2018,MASCULINO,68
11/02/2018,FEMENINO,42
11/02/2018,MASCULINO,57
12/02/2018,-,2
12/02/2018,FEMENINO,49
12/02/2018,MASCULINO,64
13/02/2018,FEMENINO,57
13/02/2018,MASCULINO,53
14/02/2018,FEMENINO,51
14/02/2018,MASCULINO,55
15/02/2018,FEMENINO,59
15/02/2018,MASCULINO,74
16/02/2018,FEMENINO,65
16/02/2018,MASCULINO,75
17/02/2018,FEMENINO,41
17/02/2018,MASCULINO,47
18/02/2018,FEMENINO,43
18/02/2018,MASCULINO,60
19/02/2018,-,1
19/02/2018,FEMENINO,58
19/02/2018,MASCULINO,72
20/02/2018,FEMENINO,79
20/02/2018,MASCULINO,80
21/02/2018,-,1
21/02/2018,FEMENINO,70
21/02/2018,MASCULINO,52
