Fecha,Zona,CantidadTotal
16/10/2017,RURAL,2
16/10/2017,URBANA,55
17/10/2017,RURAL,13
17/10/2017,URBANA,111
18/10/2017,RURAL,12
18/10/2017,URBANA,101
19/10/2017,RURAL,13
19/10/2017,URBANA,75
20/10/2017,RURAL,11
20/10/2017,URBANA,85
21/10/2017,RURAL,10
21/10/2017,URBANA,69
22/10/2017,RURAL,9
22/10/2017,URBANA,100
23/10/2017,RURAL,8
23/10/2017,URBANA,77
24/10/2017,RURAL,11
24/10/2017,URBANA,68
25/10/2017,RURAL,3
25/10/2017,URBANA,87
26/10/2017,RURAL,10
26/10/2017,URBANA,90
27/10/2017,RURAL,8
27/10/2017,URBANA,64
28/10/2017,RURAL,12
28/10/2017,URBANA,39
29/10/2017,RURAL,7
29/10/2017,URBANA,41
30/10/2017,RURAL,9
30/10/2017,URBANA,68
31/10/2017,RURAL,6
31/10/2017,URBANA,41
01/11/2017,RURAL,10
01/11/2017,URBANA,99
02/11/2017,RURAL,10
02/11/2017,URBANA,65
03/11/2017,RURAL,4
03/11/2017,URBANA,78
04/11/2017,RURAL,6
04/11/2017,URBANA,86
05/11/2017,RURAL,4
05/11/2017,URBANA,86
06/11/2017,RURAL,7
06/11/2017,URBANA,71
07/11/2017,RURAL,18
07/11/2017,URBANA,97
08/11/2017,RURAL,11
08/11/2017,URBANA,95
09/11/2017,RURAL,5
09/11/2017,URBANA,103
10/11/2017,RURAL,7
10/11/2017,URBANA,99
11/11/2017,RURAL,13
11/11/2017,URBANA,59
12/11/2017,RURAL,11
12/11/2017,URBANA,53
13/11/2017,RURAL,2
13/11/2017,URBANA,57
14/11/2017,RURAL,6
14/11/2017,URBANA,88
15/11/2017,RURAL,6
15/11/2017,URBANA,105
16/11/2017,RURAL,13
16/11/2017,URBANA,82
17/11/2017,RURAL,7
17/11/2017,URBANA,79
18/11/2017,RURAL,6
18/11/2017,URBANA,82
19/11/2017,RURAL,4
19/11/2017,URBANA,94
20/11/2017,RURAL,7
20/11/2017,URBANA,104
21/11/2017,RURAL,14
21/11/2017,URBANA,74
22/11/2017,RURAL,5
22/11/2017,URBANA,86
23/11/2017,RURAL,3
23/11/2017,URBANA,98
24/11/2017,RURAL,5
24/11/2017,URBANA,89
25/11/2017,RURAL,7
25/11/2017,URBANA,85
26/11/2017,RURAL,6
26/11/2017,URBANA,81
27/11/2017,RURAL,9
27/11/2017,URBANA,104
28/11/2017,RURAL,9
28/11/2017,URBANA,91
29/11/2017,RURAL,10
29/11/2017,URBANA,142
30/11/2017,RURAL,6
30/11/2017,URBANA,118
01/12/2017,RURAL,7
01/12/2017,URBANA,102
02/12/2017,RURAL,7
02/12/2017,URBANA,81
03/12/2017,RURAL,6
03/12/2017,URBANA,100
04/12/2017,RURAL,12
04/12/2017,URBANA,89
05/12/2017,RURAL,14
05/12/2017,URBANA,86
06/12/2017,RURAL,3
06/12/2017,URBANA,76
07/12/2017,RURAL,3
07/12/2017,URBANA,69
08/12/2017,RURAL,4
08/12/2017,URBANA,90
09/12/2017,RURAL,3
09/12/2017,URBANA,68
10/12/2017,RURAL,7
10/12/2017,URBANA,96
11/12/2017,RURAL,12
11/12/2017,URBANA,78
12/12/2017,RURAL,6
12/12/2017,URBANA,86
13/12/2017,RURAL,9
13/12/2017,URBANA,56
14/12/2017,RURAL,5
14/12/2017,URBANA,63
15/12/2017,RURAL,6
15/12/2017,URBANA,51
16/12/2017,RURAL,9
16/12/2017,URBANA,51
17/12/2017,RURAL,11
17/12/2017,URBANA,59
18/12/2017,RURAL,8
18/12/2017,URBANA,46
19/12/2017,RURAL,1
19/12/2017,URBANA,32
