ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001211,HY190667,03/18/2015 07:00:00 PM,029XX S WENTWORTH AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,914.00,9.00,11.00,34,3,1175424,1885437,2015,02/10/2018 15:50,41.84101546,-87.63174917,"(41.841015455, -87.631749168)"
10001213,HY190788,03/19/2015 03:50:00 PM,037XX W LEXINGTON ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENTIAL YARD (FRONT/BACK),true,false,1133.00,11.00,24.00,27,18,1151709,1896448,2015,02/10/2018 15:50,41.87172956,-87.71848567,"(41.871729561, -87.71848567)"
10001214,HY190650,03/19/2015 02:00:00 PM,026XX S TRUMBULL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1032.00,10.00,22.00,30,08B,1153792,1886247,2015,02/10/2018 15:50,41.84369565,-87.71110951,"(41.843695653, -87.711109507)"
10001215,HY190640,03/19/2015 12:30:00 PM,005XX W MONROE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,false,false,121.00,1.00,2.00,28,11,1172588,1899825,2015,02/10/2018 15:50,41.8805603,-87.64173087,"(41.880560303, -87.641730873)"
10001216,HY190790,03/18/2015 04:00:00 PM,021XX N MOBILE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,false,false,2512.00,25.00,29.00,19,14,1134060,1913719,2015,02/10/2018 15:50,41.91945209,-87.78287641,"(41.919452085, -87.782876412)"
10001217,HY190712,03/18/2015 10:00:00 PM,015XX W JONQUIL TER,820,THEFT,$500 AND UNDER,STREET,false,false,2422.00,24.00,49.00,1,6,1164840,1950994,2015,02/10/2018 15:50,42.02113827,-87.66872369,"(42.021138268, -87.668723692)"
10001218,HY190803,03/19/2015 03:55:00 PM,033XX W 38TH PL,560,ASSAULT,SIMPLE,RESIDENCE,false,false,911.00,9.00,12.00,58,08A,1154765,1878876,2015,02/10/2018 15:50,41.82344931,-87.70773578,"(41.823449314, -87.707735775)"
10001220,HY190669,03/19/2015 12:30:00 PM,053XX W BERTEAU AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",true,false,1624.00,16.00,38.00,15,08B,1139997,1927408,2015,02/10/2018 15:50,41.95690944,-87.76072678,"(41.956909436, -87.760726779)"
10001221,HY190792,03/19/2015 12:00:00 PM,003XX W 108TH ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,513.00,5.00,34.00,49,08A,1175939,1833307,2015,02/10/2018 15:50,41.69795333,-87.6314205,"(41.697953334, -87.631420497)"
10001222,HY190747,03/18/2015 01:00:00 PM,035XX W PETERSON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,1711.00,17.00,39.00,13,11,1151489,1939646,2015,02/10/2018 15:50,41.99027279,-87.71815544,"(41.990272789, -87.718155436)"
