name,Fecha,Sexo,CantidadTotal
Homicidios,30/10/2017,FEMENINO,2
Homicidios,30/10/2017,MASCULINO,23
Homicidios,31/10/2017,FEMENINO,3
Homicidios,31/10/2017,MASCULINO,42
Homicidios,01/11/2017,FEMENINO,1
Homicidios,01/11/2017,MASCULINO,31
Homicidios,02/11/2017,MASCULINO,24
Homicidios,03/11/2017,FEMENINO,2
Homicidios,03/11/2017,MASCULINO,24
Homicidios,04/11/2017,FEMENINO,2
Homicidios,04/11/2017,MASCULINO,42
Homicidios,05/11/2017,FEMENINO,3
Homicidios,05/11/2017,MASCULINO,50
Homicidios,06/11/2017,FEMENINO,6
Homicidios,06/11/2017,MASCULINO,35
Homicidios,07/11/2017,FEMENINO,2
Homicidios,07/11/2017,MASCULINO,26
Homicidios,08/11/2017,FEMENINO,2
Homicidios,08/11/2017,MASCULINO,35
Homicidios,09/11/2017,FEMENINO,6
Homicidios,09/11/2017,MASCULINO,23
Homicidios,10/11/2017,FEMENINO,4
Homicidios,10/11/2017,MASCULINO,33
Homicidios,11/11/2017,FEMENINO,7
Homicidios,11/11/2017,MASCULINO,37
Homicidios,12/11/2017,FEMENINO,2
Homicidios,12/11/2017,MASCULINO,58
Homicidios,13/11/2017,FEMENINO,2
Homicidios,13/11/2017,MASCULINO,27
Homicidios,14/11/2017,FEMENINO,2
Homicidios,14/11/2017,MASCULINO,29
Homicidios,15/11/2017,FEMENINO,3
Homicidios,15/11/2017,MASCULINO,19
Homicidios,16/11/2017,FEMENINO,1
Homicidios,16/11/2017,MASCULINO,29
Homicidios,17/11/2017,FEMENINO,2
Homicidios,17/11/2017,MASCULINO,21
Homicidios,18/11/2017,FEMENINO,4
Homicidios,18/11/2017,MASCULINO,31
Homicidios,19/11/2017,FEMENINO,5
Homicidios,19/11/2017,MASCULINO,33
Homicidios,20/11/2017,FEMENINO,2
Homicidios,20/11/2017,MASCULINO,26
Homicidios,21/11/2017,FEMENINO,5
Homicidios,21/11/2017,MASCULINO,25
Homicidios,22/11/2017,FEMENINO,4
Homicidios,22/11/2017,MASCULINO,13
Homicidios,23/11/2017,FEMENINO,3
Homicidios,23/11/2017,MASCULINO,38
Homicidios,24/11/2017,MASCULINO,21
Homicidios,25/11/2017,FEMENINO,1
Homicidios,25/11/2017,MASCULINO,34
