Fecha,Zona,CantidadTotal
16/12/2017,RURAL,16
16/12/2017,URBANA,23
17/12/2017,RURAL,11
17/12/2017,URBANA,49
18/12/2017,RURAL,14
18/12/2017,URBANA,25
19/12/2017,RURAL,10
19/12/2017,URBANA,18
20/12/2017,RURAL,12
20/12/2017,URBANA,27
21/12/2017,RURAL,8
21/12/2017,URBANA,19
22/12/2017,RURAL,14
22/12/2017,URBANA,26
23/12/2017,RURAL,11
23/12/2017,URBANA,25
24/12/2017,RURAL,31
24/12/2017,URBANA,39
25/12/2017,RURAL,18
25/12/2017,URBANA,44
26/12/2017,RURAL,8
26/12/2017,URBANA,19
27/12/2017,RURAL,6
27/12/2017,URBANA,18
28/12/2017,RURAL,14
28/12/2017,URBANA,21
29/12/2017,RURAL,13
29/12/2017,URBANA,30
30/12/2017,RURAL,10
30/12/2017,URBANA,23
31/12/2017,RURAL,12
31/12/2017,URBANA,43
01/01/2018,RURAL,12
01/01/2018,URBANA,70
02/01/2018,RURAL,13
02/01/2018,URBANA,23
03/01/2018,RURAL,7
03/01/2018,URBANA,15
04/01/2018,RURAL,17
04/01/2018,URBANA,15
05/01/2018,RURAL,8
05/01/2018,URBANA,11
06/01/2018,RURAL,16
06/01/2018,URBANA,21
07/01/2018,RURAL,10
07/01/2018,URBANA,19
08/01/2018,RURAL,15
08/01/2018,URBANA,9
09/01/2018,RURAL,3
09/01/2018,URBANA,18
10/01/2018,RURAL,6
10/01/2018,URBANA,14
11/01/2018,RURAL,10
11/01/2018,URBANA,21
12/01/2018,RURAL,6
12/01/2018,URBANA,21
13/01/2018,RURAL,15
13/01/2018,URBANA,30
14/01/2018,RURAL,13
14/01/2018,URBANA,31
15/01/2018,RURAL,16
15/01/2018,URBANA,24
16/01/2018,RURAL,13
16/01/2018,URBANA,20
17/01/2018,RURAL,9
17/01/2018,URBANA,19
18/01/2018,RURAL,11
18/01/2018,URBANA,19
19/01/2018,RURAL,9
19/01/2018,URBANA,30
20/01/2018,RURAL,16
20/01/2018,URBANA,30
21/01/2018,RURAL,25
21/01/2018,URBANA,39
22/01/2018,RURAL,11
22/01/2018,URBANA,26
23/01/2018,RURAL,4
23/01/2018,URBANA,29
24/01/2018,RURAL,16
24/01/2018,URBANA,17
25/01/2018,RURAL,7
25/01/2018,URBANA,24
26/01/2018,RURAL,11
26/01/2018,URBANA,18
27/01/2018,RURAL,19
27/01/2018,URBANA,28
28/01/2018,RURAL,16
28/01/2018,URBANA,37
29/01/2018,RURAL,10
29/01/2018,URBANA,17
30/01/2018,RURAL,16
30/01/2018,URBANA,22
31/01/2018,RURAL,10
31/01/2018,URBANA,22
01/02/2018,RURAL,6
01/02/2018,URBANA,18
02/02/2018,RURAL,9
02/02/2018,URBANA,21
03/02/2018,RURAL,11
03/02/2018,URBANA,26
04/02/2018,RURAL,19
04/02/2018,URBANA,36
05/02/2018,RURAL,11
05/02/2018,URBANA,17
06/02/2018,RURAL,15
06/02/2018,URBANA,19
